USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
sathwikperla     76489   0.0  0.2 1949214272  37664   ??  S    24Aug26   0:15.84 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.170/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=8f596bda-626b-4c27-a755-5d1633b971a7 --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=2153 --time-ticks-at-unix-epoch=-1787241991547201 --launch-time-ticks=143572371915 --shared-files --metrics-shmem-handle=1752395122,r,12351510714274635330,38480349914790735,2097152 --field-trial-handle=1718379636,r,5925624226357071604,6615223784861784621,262144 --variations-seed-version=20260820-170057.880000-production --pseudonymization-salt-handle=1935764596,r,1381786612274471753,2699144119891962600,4 --trace-process-track-uuid=3190711003762972391 --seatbelt-client=497
sathwikperla     76488   0.0  0.2 1949287936  38480   ??  S    24Aug26   0:14.66 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.170/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=8f596bda-626b-4c27-a755-5d1633b971a7 --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=2152 --time-ticks-at-unix-epoch=-1787241991547201 --launch-time-ticks=143572180023 --shared-files --metrics-shmem-handle=1752395122,r,5453758513255701382,8194079039847258176,2097152 --field-trial-handle=1718379636,r,5925624226357071604,6615223784861784621,262144 --variations-seed-version=20260820-170057.880000-production --pseudonymization-salt-handle=1935764596,r,1381786612274471753,2699144119891962600,4 --trace-process-track-uuid=3190711002825930542 --seatbelt-client=497
sathwikperla     76486   0.0  0.4 1949723472  72464   ??  S    24Aug26   1:10.67 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.170/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=8f596bda-626b-4c27-a755-5d1633b971a7 --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=2151 --time-ticks-at-unix-epoch=-1787241991547201 --launch-time-ticks=143571557475 --shared-files --metrics-shmem-handle=1752395122,r,4016110311051454937,3951167239493077831,2097152 --field-trial-handle=1718379636,r,5925624226357071604,6615223784861784621,262144 --variations-seed-version=20260820-170057.880000-production --pseudonymization-salt-handle=1935764596,r,1381786612274471753,2699144119891962600,4 --trace-process-track-uuid=3190711001888888693 --seatbelt-client=497
sathwikperla     76485   0.0  0.2 1949213312  26336   ??  S    24Aug26   0:12.56 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.170/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=8f596bda-626b-4c27-a755-5d1633b971a7 --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=2150 --time-ticks-at-unix-epoch=-1787241991547201 --launch-time-ticks=143569215798 --shared-files --metrics-shmem-handle=1752395122,r,12332935055179934865,3244139620899690573,2097152 --field-trial-handle=1718379636,r,5925624226357071604,6615223784861784621,262144 --variations-seed-version=20260820-170057.880000-production --pseudonymization-salt-handle=1935764596,r,1381786612274471753,2699144119891962600,4 --trace-process-track-uuid=3190711000951846844 --seatbelt-client=497
sathwikperla     76481   0.0  0.7 1959192288 117344   ??  S    24Aug26   6:56.35 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.170/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=8f596bda-626b-4c27-a755-5d1633b971a7 --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=2149 --time-ticks-at-unix-epoch=-1787241991547201 --launch-time-ticks=143563471254 --shared-files --metrics-shmem-handle=1752395122,r,14551294149202803514,15545200271877840962,2097152 --field-trial-handle=1718379636,r,5925624226357071604,6615223784861784621,262144 --variations-seed-version=20260820-170057.880000-production --pseudonymization-salt-handle=1935764596,r,1381786612274471753,2699144119891962600,4 --trace-process-track-uuid=3190711000014804995 --seatbelt-client=429
sathwikperla     73911   0.0  0.1 435508416  10832   ??  Ss   24Aug26   9:38.54 /System/Library/Frameworks/VideoToolbox.framework/Versions/A/XPCServices/VTDecoderXPCService.xpc/Contents/MacOS/VTDecoderXPCService
sathwikperla     48859   0.0  0.0 435370496   5056   ??  Ss   24Aug26   0:01.03 /System/Applications/Mail.app/Contents/PlugIns/com.apple.mail.SpotlightIndexExtension.appex/Contents/MacOS/com.apple.mail.SpotlightIndexExtension -AppleLanguages ("en-IN")
sathwikperla     14496   0.0  0.2 435667200  31072   ??  Ss   24Aug26   2:52.58 /System/Library/Frameworks/AppKit.framework/Versions/C/XPCServices/com.apple.appkit.xpc.openAndSavePanelService.xpc/Contents/MacOS/com.apple.appkit.xpc.openAndSavePanelService
root             73223   0.0  0.0 435321952   2544   ??  Ss   24Aug26   0:00.12 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mdsync -s mdworker-scan -c MDSSyncScanWorker -m com.apple.metadata.mds.scan
sathwikperla     55209   0.0  0.1 435446944  11440   ??  Ss   24Aug26   0:07.20 /System/Library/CoreServices/ControlCenter.app/Contents/XPCServices/ControlCenterHelper.xpc/Contents/MacOS/ControlCenterHelper
root             19708   0.0  0.0 435357216   5344   ??  Ss   21Aug26   5:17.07 /System/Library/PrivateFrameworks/AmbientDisplay.framework/Versions/A/XPCServices/com.apple.AmbientDisplayAgent.xpc/Contents/MacOS/com.apple.AmbientDisplayAgent
sathwikperla     17067   0.0  0.6 1949453264  95088   ??  S    21Aug26  11:10.15 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.170/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=8f596bda-626b-4c27-a755-5d1633b971a7 --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=346 --time-ticks-at-unix-epoch=-1787241991547201 --launch-time-ticks=80055188141 --shared-files --metrics-shmem-handle=1752395122,r,5899717335784649213,13470073094473424711,2097152 --field-trial-handle=1718379636,r,5925624226357071604,6615223784861784621,262144 --variations-seed-version=20260820-170057.880000-production --pseudonymization-salt-handle=1935764596,r,1381786612274471753,2699144119891962600,4 --trace-process-track-uuid=3190709310528351248 --seatbelt-client=178
sathwikperla     15513   0.0  0.0 435322784   2064   ??  S    21Aug26   0:00.09 /System/Library/CoreServices/Setup Assistant.app/Contents/Resources/mbuseragent
sathwikperla     75607   0.0  0.1 486108624  20912   ??  S    21Aug26   0:31.23 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.170/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper --type=utility --utility-sub-type=video_capture.mojom.VideoCaptureService --lang=en-GB --service-sandbox-type=none --message-loop-type-ui --metrics-client-id=8f596bda-626b-4c27-a755-5d1633b971a7 --shared-files --metrics-shmem-handle=1752395122,r,10837553377779829842,8637882309262662413,524288 --field-trial-handle=1718379636,r,5925624226357071604,6615223784861784621,262144 --variations-seed-version=20260820-170057.880000-production --pseudonymization-salt-handle=1935764596,r,1381786612274471753,2699144119891962600,4 --trace-process-track-uuid=3190709035975089491
sathwikperla     75605   0.0  0.1 486117552  17776   ??  S    21Aug26  13:00.94 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.170/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper --type=utility --utility-sub-type=audio.mojom.AudioService --lang=en-GB --service-sandbox-type=audio --message-loop-type-ui --metrics-client-id=8f596bda-626b-4c27-a755-5d1633b971a7 --shared-files --metrics-shmem-handle=1752395122,r,7075319917807051892,9573749195228885783,524288 --field-trial-handle=1718379636,r,5925624226357071604,6615223784861784621,262144 --variations-seed-version=20260820-170057.880000-production --pseudonymization-salt-handle=1935764596,r,1381786612274471753,2699144119891962600,4 --trace-process-track-uuid=3190709035038047642 --seatbelt-client=369
sathwikperla     75582   0.0  0.4 1949293392  73200   ??  S    21Aug26   1:48.44 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.170/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=8f596bda-626b-4c27-a755-5d1633b971a7 --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=51 --time-ticks-at-unix-epoch=-1787241991547201 --launch-time-ticks=65362362835 --shared-files --metrics-shmem-handle=1752395122,r,4276285350079975201,14624850060293341615,2097152 --field-trial-handle=1718379636,r,5925624226357071604,6615223784861784621,262144 --variations-seed-version=20260820-170057.880000-production --pseudonymization-salt-handle=1935764596,r,1381786612274471753,2699144119891962600,4 --trace-process-track-uuid=3190709034101005793 --seatbelt-client=277
sathwikperla     75557   0.0  0.5 1949252528  86096   ??  S    21Aug26   2:23.51 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.170/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=8f596bda-626b-4c27-a755-5d1633b971a7 --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=50 --time-ticks-at-unix-epoch=-1787241991547201 --launch-time-ticks=65358214274 --shared-files --metrics-shmem-handle=1752395122,r,8226055609257529080,6434383768230963371,2097152 --field-trial-handle=1718379636,r,5925624226357071604,6615223784861784621,262144 --variations-seed-version=20260820-170057.880000-production --pseudonymization-salt-handle=1935764596,r,1381786612274471753,2699144119891962600,4 --trace-process-track-uuid=3190709033163963944 --seatbelt-client=175
sathwikperla     75337   0.0  0.2 1949526256  39568   ??  S    21Aug26   3:15.34 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.170/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=8f596bda-626b-4c27-a755-5d1633b971a7 --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=29 --time-ticks-at-unix-epoch=-1787241991547201 --launch-time-ticks=65339142560 --shared-files --metrics-shmem-handle=1752395122,r,15489133781654222628,3494401702407150960,2097152 --field-trial-handle=1718379636,r,5925624226357071604,6615223784861784621,262144 --variations-seed-version=20260820-170057.880000-production --pseudonymization-salt-handle=1935764596,r,1381786612274471753,2699144119891962600,4 --trace-process-track-uuid=3190709013486085115 --seatbelt-client=247
sathwikperla     75336   0.0  0.4 1949233344  72624   ??  S    21Aug26   2:04.92 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.170/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=8f596bda-626b-4c27-a755-5d1633b971a7 --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=25 --time-ticks-at-unix-epoch=-1787241991547201 --launch-time-ticks=65339133018 --shared-files --metrics-shmem-handle=1752395122,r,13951630617406680434,14057032783906831972,2097152 --field-trial-handle=1718379636,r,5925624226357071604,6615223784861784621,262144 --variations-seed-version=20260820-170057.880000-production --pseudonymization-salt-handle=1935764596,r,1381786612274471753,2699144119891962600,4 --trace-process-track-uuid=3190709009737917719 --seatbelt-client=242
sathwikperla     75271   0.0  0.1 1949307568  18576   ??  S    21Aug26   0:17.58 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.170/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=8f596bda-626b-4c27-a755-5d1633b971a7 --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=23 --time-ticks-at-unix-epoch=-1787241991547201 --launch-time-ticks=65336114909 --shared-files --metrics-shmem-handle=1752395122,r,926372815831103512,17764483841270252331,2097152 --field-trial-handle=1718379636,r,5925624226357071604,6615223784861784621,262144 --variations-seed-version=20260820-170057.880000-production --pseudonymization-salt-handle=1935764596,r,1381786612274471753,2699144119891962600,4 --trace-process-track-uuid=3190709007863834021 --seatbelt-client=242
sathwikperla     75222   0.0  0.1 435447776  11040   ??  Ss   21Aug26   0:12.41 /System/Library/PrivateFrameworks/SafariPlatformSupport.framework/Versions/A/XPCServices/com.apple.SafariPlatformSupport.Helper.xpc/Contents/MacOS/com.apple.SafariPlatformSupport.Helper
sathwikperla     75218   0.0  0.5 1949421536  79744   ??  S    21Aug26   1:52.87 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.170/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --top-chrome-webui --metrics-client-id=8f596bda-626b-4c27-a755-5d1633b971a7 --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=16 --time-ticks-at-unix-epoch=-1787241991547201 --launch-time-ticks=65331022035 --shared-files --metrics-shmem-handle=1752395122,r,14438986038331847206,3162534250307710934,2097152 --field-trial-handle=1718379636,r,5925624226357071604,6615223784861784621,262144 --variations-seed-version=20260820-170057.880000-production --pseudonymization-salt-handle=1935764596,r,1381786612274471753,2699144119891962600,4 --trace-process-track-uuid=3190709001304541078 --seatbelt-client=238
sathwikperla     75144   0.0  0.1 435842864  13152   ??  S    21Aug26   0:13.64 /System/Cryptexes/App/System/Library/CoreServices/PasswordManagerBrowserExtensionHelper.app/Contents/MacOS/PasswordManagerBrowserExtensionHelper chrome-extension://pejdijmoenmkgeppbflobdenhhabjlaj/
sathwikperla     75097   0.0  0.3 1951214176  55136   ??  S    21Aug26   1:24.26 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.170/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=8f596bda-626b-4c27-a755-5d1633b971a7 --extension-process --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=12 --time-ticks-at-unix-epoch=-1787241991547201 --launch-time-ticks=65319951937 --shared-files --metrics-shmem-handle=1752395122,r,17623231903001113138,5852686525568749481,2097152 --field-trial-handle=1718379636,r,5925624226357071604,6615223784861784621,262144 --variations-seed-version=20260820-170057.880000-production --pseudonymization-salt-handle=1935764596,r,1381786612274471753,2699144119891962600,4 --trace-process-track-uuid=3190708997556373682 --seatbelt-client=145
sathwikperla     75088   0.0  0.1 486105760  22816   ??  S    21Aug26   1:07.22 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.170/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper --type=utility --utility-sub-type=storage.mojom.StorageService --lang=en-GB --service-sandbox-type=service --metrics-client-id=8f596bda-626b-4c27-a755-5d1633b971a7 --shared-files --metrics-shmem-handle=1752395122,r,1437392648623167150,2932495300518738894,524288 --field-trial-handle=1718379636,r,5925624226357071604,6615223784861784621,262144 --variations-seed-version=20260820-170057.880000-production --pseudonymization-salt-handle=1935764596,r,1381786612274471753,2699144119891962600,4 --trace-process-track-uuid=3190708990060038890 --seatbelt-client=38
sathwikperla     75085   0.0  0.5 487434288  92032   ??  S    21Aug26 375:15.01 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.170/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper --type=gpu-process --metrics-client-id=8f596bda-626b-4c27-a755-5d1633b971a7 --gpu-preferences=WAAAAAAAAAAgAQAEAAAAAAAAAAAAAGAAQAAAAAAAAAADAAAAAAAAADgAAAAAAAAAAAAAAAAAAAACAAAAAAAAAAAAAAAAAAAAKAAAAAAAAAAoAAAAAAAAAAgAAAAAAAAADAAAAAEAAAAAAAAAAAAAAAgAAAAAAAAACAAAAAAAAAA= --shared-files --metrics-shmem-handle=1752395122,r,11723401324681635609,11460382155920227387,262144 --field-trial-handle=1718379636,r,5925624226357071604,6615223784861784621,262144 --variations-seed-version=20260820-170057.880000-production --pseudonymization-salt-handle=1935764596,r,1381786612274471753,2699144119891962600,4 --trace-process-track-uuid=3190708988185955192 --seatbelt-client=30
sathwikperla     75058   0.0  0.0 485754432   7056   ??  S    21Aug26   0:01.72 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.170/Helpers/chrome_crashpad_handler --monitor-self-annotation=ptype=crashpad-handler --database=/Users/sathwikperla/Library/Application Support/Google/Chrome/Crashpad --metrics-dir=/Users/sathwikperla/Library/Application Support/Google/Chrome --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=plat=OS X --annotation=prod=Chrome_Mac --annotation=ver=151.0.7922.170 --handshake-fd=5
sathwikperla     74963   0.0  2.6 537526496 440112   ??  S    21Aug26 171:32.80 /Applications/Google Chrome.app/Contents/MacOS/Google Chrome --no-startup-window --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors
sathwikperla     22932   0.0  0.1 435372144   9856   ??  S    21Aug26   0:09.76 /System/Library/PrivateFrameworks/PassKitCore.framework/passd
sathwikperla     78924   0.0  0.0 435317824   2352   ??  S    21Aug26   0:00.10 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mdwrite
sathwikperla     73233   0.0  0.2 435956464  27184   ??  S    21Aug26   1:03.67 /System/Library/Services/AppleSpell.service/Contents/MacOS/AppleSpell
sathwikperla     74203   0.0  0.1 435369216  10528   ??  S    19Aug26   0:07.73 /System/Library/PrivateFrameworks/ScreenTimeCore.framework/Versions/A/ScreenTimeAgent
root             71967   0.0  0.1 435379168   9472   ??  Ss   19Aug26   1:22.90 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd system
sathwikperla     56092   0.0  0.1 435600112  15568   ??  S    19Aug26   0:10.95 /System/Library/CoreServices/UserNotificationCenter.app/Contents/MacOS/UserNotificationCenter
sathwikperla     81705   0.0  0.0 435317600   1280   ??  S    18Aug26   0:00.03 /System/Library/PrivateFrameworks/KerberosHelper/Helpers/DiskUnmountWatcher
_modelmanagerd    7365   0.0  0.0 435321760   1648   ??  S    18Aug26   0:12.39 /usr/sbin/distnoted agent
_modelmanagerd    7364   0.0  0.0 435356464   1904   ??  Ss   18Aug26   0:00.07 /System/Library/ExtensionKit/Extensions/TGOnDeviceInferenceProviderService.appex/Contents/MacOS/TGOnDeviceInferenceProviderService -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS50Z29uZGV2aWNlaW5mZXJlbmNlcHJvdmlkZXJzZXJ2aWNlIiwiZW5oYW5jZWRTZWN1cml0eSI6ZmFsc2UsInR5cGUiOjh9
sathwikperla      7165   0.0  0.1 435499488  15792   ??  Ss   18Aug26   0:24.81 /Applications/WhatsApp.app/Contents/PlugIns/ServiceExtension.appex/Contents/MacOS/ServiceExtension -AppleLanguages ("en-IN")
root              7014   0.0  0.0 435358848   4224   ??  Ss   18Aug26   0:15.95 /usr/libexec/wifivelocityd
sathwikperla      6981   0.0  0.0 435357536   4432   ??  S    18Aug26   0:00.68 /System/Library/PrivateFrameworks/IMDPersistence.framework/IMAutomaticHistoryDeletionAgent.app/Contents/MacOS/IMAutomaticHistoryDeletionAgent
sathwikperla      6140   0.0  0.0 435356416   2256   ??  S    18Aug26   0:00.22 /System/Library/Frameworks/CoreSpotlight.framework/spotlightknowledged -x
_neuralengine     5946   0.0  0.0 435322144   1632   ??  S    18Aug26   0:13.16 /usr/sbin/distnoted agent
sathwikperla      1271   0.0  0.1 435456576  12592   ??  S    18Aug26   0:18.67 /System/Library/CoreServices/PowerChime.app/Contents/MacOS/PowerChime
sathwikperla      1191   0.0  0.1 435364720   9200   ??  S    17Aug26   0:14.96 /System/Library/PrivateFrameworks/People.framework/peopled
_rmd              1161   0.0  0.0 435321904   1616   ??  S    17Aug26   0:12.78 /usr/sbin/distnoted agent
sathwikperla      1062   0.0  0.1 435644464  16016   ??  Ss   17Aug26   2:04.55 /System/Library/CoreServices/Siri.app/Contents/XPCServices/SiriNCService.xpc/Contents/MacOS/SiriNCService
root              1013   0.0  0.0 435321376   1952   ??  Ss   17Aug26   0:00.09 /System/Library/CoreServices/CrashReporterSupportHelper server-init
root              1006   0.0  0.0 435358880   5904   ??  Ss   17Aug26   0:07.61 /System/Library/CoreServices/SubmitDiagInfo server-init
sathwikperla       720   0.0  0.0 435358160   5776   ??  S    17Aug26   0:11.71 /System/Library/CoreServices/diagnostics_agent
_networkd          992   0.0  0.0 435321456   1616   ??  S    17Aug26   0:12.99 /usr/sbin/distnoted agent
root               986   0.0  0.0 435358912   3824   ??  S    17Aug26   0:07.02 /usr/sbin/systemstats --logger-helper /private/var/db/systemstats
_applepay          963   0.0  0.0 435321360   1616   ??  S    17Aug26   0:13.08 /usr/sbin/distnoted agent
sathwikperla       956   0.0  0.1 435371776  12304   ??  SN   17Aug26   0:26.82 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mdbulkimport -s mdworker-bundle -c MDSImporterBundleFinder -m com.apple.metadata.mdbulkimport
_securityagent     955   0.0  0.0 435321280   1616   ??  S    17Aug26   0:13.00 /usr/sbin/distnoted agent
root             42597   0.0  0.0 435300000   1632 s023  R+    4:29PM   0:00.00 ps aux
_gamecontrollerd   953   0.0  0.0 435322064   1616   ??  S    17Aug26   0:13.20 /usr/sbin/distnoted agent
_fpsd              914   0.0  0.0 435337312   1600   ??  Ss   17Aug26   0:08.99 /System/Library/PrivateFrameworks/CoreFP.framework/Versions/A/fairplayd
_installcoordinationd   909   0.0  0.0 435322064   1632   ??  S    17Aug26   0:13.18 /usr/sbin/distnoted agent
sathwikperla       894   0.0  0.0 435362224   3600   ??  Ss   17Aug26   0:00.06 /System/Library/CoreServices/Screen Time.app/Contents/PlugIns/ScreenTimeWidgetIntentsExtension.appex/Contents/MacOS/ScreenTimeWidgetIntentsExtension -AppleLanguages ("en-IN")
sathwikperla       893   0.0  0.0 435394752   4160   ??  Ss   17Aug26   0:00.08 /System/Applications/FindMy.app/Contents/PlugIns/FindMyWidgetItems.appex/Contents/MacOS/FindMyWidgetItems -LaunchArguments eyJ0eXBlIjoxLCJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUuZmluZG15LkZpbmRNeVdpZGdldEl0ZW1zIn0=
sathwikperla       892   0.0  0.0 435375296   3904   ??  Ss   17Aug26   0:00.05 /System/Applications/Journal.app/Contents/PlugIns/JournalWidgets.appex/Contents/MacOS/JournalWidgets -LaunchArguments eyJ0eXBlIjoxLCJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUuam91cm5hbC53aWRnZXRzIn0=
sathwikperla       888   0.0  0.0 435371312   3632   ??  Ss   17Aug26   0:00.04 /System/Applications/VoiceMemos.app/Contents/PlugIns/VoiceMemosSettingsWidgetExtension.appex/Contents/MacOS/VoiceMemosSettingsWidgetExtension -LaunchArguments eyJ0eXBlIjoxLCJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUuVm9pY2VNZW1vcy5Wb2ljZU1lbW9zU2V0dGluZ3NXaWRnZXQifQ==
_accessoryupdater   886   0.0  0.0 435322128   1616   ??  S    17Aug26   0:13.30 /usr/sbin/distnoted agent
sathwikperla       887   0.0  0.0 435415280   4320   ??  Ss   17Aug26   0:00.14 /System/Applications/FindMy.app/Contents/PlugIns/FindMyWidgetPeople.appex/Contents/MacOS/FindMyWidgetPeople -LaunchArguments eyJ0eXBlIjoxLCJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUuZmluZG15LkZpbmRNeVdpZGdldFBlb3BsZSJ9
sathwikperla       883   0.0  0.0 435371216   3616   ??  Ss   17Aug26   0:00.04 /System/Applications/VoiceMemos.app/Contents/PlugIns/RecordWidgetExtension.appex/Contents/MacOS/RecordWidgetExtension -LaunchArguments eyJ0eXBlIjoxLCJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUuVm9pY2VNZW1vcy5SZWNvcmRXaWRnZXQifQ==
sathwikperla       882   0.0  0.0 435415136   4240   ??  Ss   17Aug26   0:00.16 /System/Library/CoreServices/Screen Time.app/Contents/PlugIns/ScreenTimeWidgetExtension.appex/Contents/MacOS/ScreenTimeWidgetExtension -LaunchArguments eyJ0eXBlIjoxLCJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUuU2NyZWVuVGltZVdpZGdldEFwcGxpY2F0aW9uLlNjcmVlblRpbWVXaWRnZXRFeHRlbnNpb24ifQ==
sathwikperla       881   0.0  0.0 435357760   3536   ??  Ss   17Aug26   0:00.04 /System/Applications/Weather.app/Contents/PlugIns/WeatherIntents.appex/Contents/MacOS/WeatherIntents -AppleLanguages ("en-IN")
sathwikperla       880   0.0  0.0 435600048   4192   ??  Ss   17Aug26   0:00.15 /System/Applications/Journal.app/Contents/PlugIns/JournalWidgetsSecure.appex/Contents/MacOS/JournalWidgetsSecure -LaunchArguments eyJ0eXBlIjoxLCJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUuam91cm5hbC53aWRnZXRzLnNlY3VyZSJ9
